Name,Type,Lat_WGS84,Lon_WGS84
Assemblies of God Medical Clinic,Health,22.34469800000005,114.19987500000002
Black Point Power Station Health Centre,Health,22.41322800000006,113.91077600000006
BOCHK Health Care Division,Health,22.27955000000003,114.1614810000001
Castle Peak Power Station Health Centre,Health,22.375019000000066,113.91948900000013
Centre of Wellness,Health,22.30516800000004,114.16937300000006
Chai Fat Clinic,Health,22.343643000000043,114.19676400000004
Chee Kwong Free Clinic,Health,22.38241000000005,114.1861520000001
Christian Family Service Centre Medical Clinic,Health,22.31192100000004,114.229014
Clinic of China Resources Company,Health,22.280538000000035,114.17632500000002
Emmanuel Medical Mission,Health,22.32457000000005,114.18811700000003
HAECO Medical Clinic (Chek Lap Kok),Health,22.30372600000004,113.89965700000003
Haven of Hope King Lam Clinic,Health,22.319097000000056,114.26201300000002
Haven of Hope S K Yee Hang Hau Clinic,Health,22.316527000000065,114.2674290000001
Haven of Hope S K Yee Hau Tak Clinic,Health,22.317607000000063,114.26458300000002
Haven of Hope S K Yee Po Lam Clinic,Health,22.325564000000043,114.25544700000012
Haven of Hope Sau Mau Ping Clinic,Health,22.31995500000005,114.232298
HKFTU Medical & Healthcare Centre (Central Clinic),Health,22.28486700000008,114.15370800000004
HKFTU Medical & Healthcare Centre (Wan Chai Clinic),Health,22.279300000000035,114.17809800000008
HKFTU Specialist Medical Centre,Health,22.321046000000024,114.16885100000002
Holistic Wellness Medical Centre,Health,22.311757000000057,114.22558300000004
Hong Kong Breast Cancer Foundation Breast Health Centre,Health,22.286336000000063,114.19236200000012
Hong Kong Breast Cancer Foundation Breast Health Centre (Kowloon),Health,22.33708900000005,114.20717600000012
Hong Kong Chiu Chow Merchants Mutual Assistance Society Clinic,Health,22.288436000000047,114.14673700000004
"Hong Kong Christian Service, Medical & Dental Clinic",Health,22.300383000000068,114.17431700000007
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Kwun Tong Branch),Health,22.314629000000025,114.22202500000004
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Mongkok Branch),Health,22.321191000000056,114.16882700000008
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tai Po Branch),Health,22.448638000000077,114.16672900000005
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tsuen Wan Branch),Health,22.37295300000005,114.11823000000004
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tuen Mun Branch),Health,22.398296000000077,113.97552900000004
Hong Kong Red Swastika Society Free Clinic,Health,22.28224000000006,114.19302000000005
Hong Kong Sports Institute Clinic,Health,22.392780000000077,114.19985100000008
Hong Kong Workers' Health Centre,Health,22.301445000000054,114.17599200000006
Kiangsu Chekiang and Shanghai Medical Centre,Health,22.291104000000075,114.19791900000008
Kwun Tong Tsui Ping Road Estate Kaifong Welfare Association Registered Doctor Clinic,Health,22.31682100000006,114.22882400000005
Lok Sin Tong Chan Kwong Hing Memorial Primary Health Centre,Health,22.329537000000077,114.18716300000006
Lok Sin Tong Mr. & Mrs. Lee Yin Yee Medical Centre,Health,22.322718000000062,114.16908
Lung Hing Tong Clinic,Health,22.32676200000003,114.16516500000012
PCHK Medical Services Eye Clinic,Health,22.34653400000008,114.19945100000008
Pentecostal Holiness Church Fung Tak Medical Centre,Health,22.34398600000003,114.20070200000008
Po Leung Kuk Cheerful Court Integrated Health Centre,Health,22.32568800000007,114.21627200000012
Po Leung Kuk Making Life Beautiful Integrated Health Centre,Health,22.290877000000023,114.197043
SARDA Wanchai Clinic,Health,22.278088000000025,114.16959200000008
Sham Shui Po District Council Po Leung Kuk Shek Kip Mei Community Services Centre (Medical Services),Health,22.333672000000035,114.16393000000004
Sik Sik Yuen Clinic,Health,22.34321200000005,114.197358
The Family Planning Association of Hong Kong – Kwai Fong Youth Health Care Centre,Health,22.357631000000023,114.12636800000008
The Family Planning Association of Hong Kong – Ma Tau Chung Clinic,Health,22.324355000000025,114.18834000000004
The Family Planning Association of Hong Kong – Tsuen Wan Clinic,Health,22.37403900000004,114.11634500000002
The Family Planning Association of Hong Kong – Wan Chai Clinic,Health,22.277438000000075,114.17311600000004
The Family Planning Association of Hong Kong – Wong Tai Sin Clinic,Health,22.341504000000043,114.19301200000008
The Family Planning Association of Hong Kong – Youth Health Care Centre – Mongkok Centre,Health,22.31507100000005,114.17011200000002
The Family Planning Association of Hong Kong – Yuen Long Clinic,Health,22.450815000000038,114.02979400000004
The Hong Kong and China Gas Company Limited Clinic,Health,22.29154200000005,114.20960000000002
The Islamic Union Medical Clinic,Health,22.27765400000004,114.17878400000006
TWGHs Integrated Diagnostic and Medical Centre,Health,22.31558300000006,114.1717900000001
TWGHs K B Tam & W K Li Medical Centre (North Point),Health,22.29172500000004,114.20057200000008
UCN – Bradbury Kwong Tin Community Health Centre,Health,22.302995000000067,114.23995900000013
UCN – Jockey Club Tin Shui Wai Community Health Centre,Health,22.463568000000063,114.00454800000011
UCN – Jockey Club Wo Lok Community Health Centre,Health,22.316528000000066,114.22801200000004
UCN – Kwong Fuk Community Health Centre,Health,22.44867300000004,114.1752110000001
UCN Jordan Health Centre,Health,22.30577000000005,114.17080400000008
"University Health Service, The Hong Kong Polytechnic University",Health,22.30343400000004,114.17772200000002
"Clinic of the Association of the Natives of Tung Koon, Shatin",Health,22.312070000000062,114.17035700000008
On On Clinic,Health,22.346249000000057,114.19815200000004
Po Chai Church Clinic,Health,22.286649000000068,114.14200500000004
Wood Man Church Clinic,Health,22.32907700000004,114.190692
