Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Tang Shiu Kin Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.275313,114.17774,836357.2000000002,815162.0
St. John Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.208059,114.03151,821279.2999999998,807721.9000000004
Queen Elizabeth Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.30886,114.17519,836094.4000000004,818876.8000000007
Ruttonjee Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.275909,114.17529,836104.7000000002,815228.0
Queen Mary Hospital,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.2704,114.13117,831557.5,814618.6999999993
Siu Lam Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES WEST CLUSTER,22.41005,113.97487,815469.0,830096.0999999996
Shatin Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.398115,114.21263,839949.7999999998,828761.0
North Lantau Hospital,Hospital Authority Hospital/Institution List,KOWLOON WEST CLUSTER,22.282571,113.93914,811767.9000000004,815985.0
Prince of Wales Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.379939,114.20129,838782.4000000004,826748.0
Pok Oi Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES WEST CLUSTER,22.44523,114.04159,822342.2999999998,833984.0999999996
Pamela Youde Nethersole Eastern Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.26918,114.23643,842406.2000000002,814484.0999999996
Our Lady of Maryknoll Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.345588,114.19657,838296.9000000004,822944.0
Kowloon Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.323708,114.17957,836545.7000000002,820521.0
MacLehose Medical Rehabilitation Centre,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.269795,114.12399,830817.4000000004,814552.0
North District Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.496832,114.12456,830884.9000000004,839693.0
Hong Kong Red Cross Blood Transfusion Service,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.310794,114.17443,836016.0999999996,819091.0
Hong Kong Buddhist Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.33568,114.18874,837490.4000000004,821846.8000000007
Hong Kong Children's Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.315757,114.20886,839563.5,819640.9000000004
Hong Kong Eye Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.324927,114.18462,837066.0,820656.0
Bradbury Hospice,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.398512,114.2151,840204.0999999996,828805.0
"Cheshire Home, Chung Hom Kok",Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.212024,114.1973,838374.0999999996,808154.0
Castle Peak Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES WEST CLUSTER,22.410011,113.97374,815352.7000000002,830092.0
Grantham Hospital,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.251156,114.17316,835885.0999999996,812487.0
Caritas Medical Centre,Hospital Authority Hospital/Institution List,KOWLOON WEST CLUSTER,22.340629,114.15231,833737.5,822395.0
"Cheshire Home, Shatin",Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.39918,114.21653,840351.4000000004,828879.0
Alice Ho Miu Ling Nethersole Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.458696,114.17479,836053.5,835469.0
Princess Margaret Hospital,Hospital Authority Hospital/Institution List,KOWLOON WEST CLUSTER,22.340057,114.1347,831923.4000000004,822332.0
Tuen Mun Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES WEST CLUSTER,22.40708,113.97621,815606.5999999996,829767.0
Kwong Wah Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.31429,114.1721,835776.0999999996,819478.0999999996
Kwai Chung Hospital,Hospital Authority Hospital/Institution List,KOWLOON WEST CLUSTER,22.342892,114.13336,831785.5,822646.0
Haven of Hope Hospital,Hospital Authority Hospital/Institution List,KOWLOON EAST CLUSTER,22.313773,114.25627,844448.4000000004,819423.0
Wong Chuk Hang Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.250966,114.17591,836168.5999999996,812466.0
Tung Wah Hospital,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.284955,114.14661,833149.0999999996,816230.0999999996
United Christian Hospital,Hospital Authority Hospital/Institution List,KOWLOON EAST CLUSTER,22.322291,114.2279,841525.0,820365.0
Yan Chai Hospital,Hospital Authority Hospital/Institution List,KOWLOON WEST CLUSTER,22.369548,114.11956,830365.0,825598.3000000007
Tung Wah Eastern Hospital,Hospital Authority Hospital/Institution List,HONG KONG EAST CLUSTER,22.274725,114.19026,837647.5999999996,815097.0
Tung Wah Group of Hospitals Fung Yiu King Hospital,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.271408,114.12483,830904.0999999996,814730.5
Tung Wah Group of Hospitals Wong Tai Sin Hospital,Hospital Authority Hospital/Institution List,KOWLOON CENTRAL CLUSTER,22.346808,114.19632,838271.0999999996,823079.0999999996
Tseung Kwan O Hospital,Hospital Authority Hospital/Institution List,KOWLOON EAST CLUSTER,22.317964,114.27021,845884.4000000004,819888.0
Tsan Yuk Hospital,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.286146,114.14457,832938.9000000004,816362.0
Tai Po Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES EAST CLUSTER,22.46143,114.17464,836038.0,835771.8000000007
The Duchess of Kent Children's Hospital at Sandy Bay,Hospital Authority Hospital/Institution List,HONG KONG WEST CLUSTER,22.271574,114.12424,830843.2999999998,814749.0
Tin Shui Wai Hospital,Hospital Authority Hospital/Institution List,NEW TERRITORIES WEST CLUSTER,22.458704,113.99585,817635.7000000002,835481.0999999996
